ReviewID,CustomerID,ProductID,ReviewText,ReviewDate,CleanReview,ReviewLength,Year,Month,Weekday,SentimentScore,SentimentLabel
1,486,267,So impressed by the quality. This product truly delivers.,2024-05-12,impressed quality product truly delivers,5,2024,5,Sunday,1.0,Positive
2,810,246,I'm very happy with the performance. It does exactly what I need.,2024-03-07,happy performance exactly need,4,2024,3,Thursday,0.525,Positive
3,855,291,I regret buying this. The quality is terrible and it stopped working within a week.,2023-11-15,regret buying quality terrible stopped working within week,8,2023,11,Wednesday,-1.0,Negative
4,524,235,"It serves its purpose, but it's not anything extraordinary.",2024-05-27,serves purpose not anything extraordinary,5,2024,5,Monday,0.3333333333333333,Positive
5,238,220,Very high-quality product. I would buy it again without hesitation.,2023-09-10,high quality product would buy without hesitation,7,2023,9,Sunday,0.16,Positive
6,578,263,It's neither great nor terrible. It's just okay.,2024-04-14,neither great terrible okay,4,2024,4,Sunday,0.10000000000000002,Positive
7,181,261,Everything about this product is great! It works as advertised and more.,2023-12-23,everything product great works advertised,5,2023,12,Saturday,0.8,Positive
8,262,215,This is the worst product I've bought in a long time. It doesn't do what it's supposed to.,2023-12-16,worst product bought long time not supposed,7,2023,12,Saturday,-0.525,Negative
9,362,222,I've had nothing but problems with this product. It's not reliable.,2023-09-21,nothing problems product not reliable,5,2023,9,Thursday,0.0,Neutral
10,563,204,Perfect product for my needs! I can't imagine using anything else now.,2023-07-20,perfect product needs cannot imagine using anything else,8,2023,7,Thursday,1.0,Positive
11,315,260,I'm extremely disappointed with this product. It doesn't work as promised.,2023-12-10,extremely disappointed product not work promised,6,2023,12,Sunday,-0.75,Negative
12,651,276,"The product is awful. It doesn't work as it should, and it's frustrating to use.",2023-10-01,product awful not work frustrating use,6,2023,10,Sunday,-0.7,Negative
13,863,220,It's an okay option if you're looking for something basic.,2024-01-23,okay option looking something basic,5,2024,1,Tuesday,0.25,Positive
14,648,233,"It's functional, but I'm not blown away by it.",2024-03-28,functional not blown away,4,2024,3,Thursday,0.0,Neutral
15,682,291,"It's decent, though I expected a little more.",2024-01-12,decent though expected little,4,2024,1,Friday,-0.04027777777777778,Neutral
16,691,299,"I've used it for a week, and it functions as advertised, but it's not extraordinary.",2023-11-25,used week functions advertised not extraordinary,6,2023,11,Saturday,-0.16666666666666666,Negative
17,284,245,This is hands down the best purchase I've made this year.,2023-08-19,hands best purchase made year,5,2023,8,Saturday,1.0,Positive
18,828,249,I am extremely satisfied with my purchase. Worth every penny!,2023-09-20,extremely satisfied purchase worth every penny,6,2023,9,Wednesday,0.4,Positive
19,622,280,I couldn't be more pleased with this purchase. It works perfectly!,2023-10-27,could not pleased purchase works perfectly,6,2023,10,Friday,0.375,Positive
20,178,201,I've been using it for a while now and it's performing perfectly.,2024-01-25,using performing perfectly,3,2024,1,Thursday,1.0,Positive
21,506,288,Absolutely love this product! It's a game-changer.,2024-03-28,absolutely love product game changer,5,2024,3,Thursday,0.04999999999999999,Neutral
22,197,240,"It's a decent option, but not the best one out there.",2023-10-15,decent option not best one,5,2023,10,Sunday,-0.16666666666666669,Negative
23,677,258,The product is of poor quality. It doesn't last long and doesn't do what it should.,2023-08-25,product poor quality not last long not,7,2023,8,Friday,-0.15,Negative
24,346,283,The product is exactly what I was hoping for. I'm very satisfied.,2023-12-27,product exactly hoping satisfied,4,2023,12,Wednesday,0.375,Positive
25,564,246,Worth every penny! Amazing quality and service.,2023-07-30,worth every penny amazing quality service,6,2023,7,Sunday,0.45000000000000007,Positive
26,820,213,"It does the job, but I wasn't impressed by its performance.",2023-07-14,job not impressed performance,4,2023,7,Friday,-0.5,Negative
27,541,205,"The product works, but I've had better experiences with similar products.",2024-03-13,product works better experiences similar products,6,2024,3,Wednesday,0.25,Positive
28,153,204,Absolutely love this product! It's a game-changer.,2023-10-24,absolutely love product game changer,5,2023,10,Tuesday,0.04999999999999999,Neutral
29,982,210,I absolutely love this product! It exceeded my expectations in every way.,2023-12-15,absolutely love product exceeded expectations every way,7,2023,12,Friday,0.5,Positive
30,945,268,This product has made my daily routine so much easier. Highly recommend.,2024-01-26,product made daily routine much easier highly recommend,8,2024,1,Friday,0.12,Positive
31,386,279,This product is cheaply made and didn't meet my expectations at all.,2024-01-11,product cheaply made not meet expectations,6,2024,1,Thursday,0.4,Positive
32,661,261,The product functions as expected but isn't remarkable.,2024-05-11,product functions expected not remarkable,5,2024,5,Saturday,-0.2375,Negative
33,396,298,"It's an okay product, but there are some issues I have with it.",2023-12-12,okay product issues,3,2023,12,Tuesday,0.5,Positive
34,931,297,This product has saved me so much time and effort. I couldn't be happier.,2024-01-07,product saved much time effort could not happier,8,2024,1,Sunday,0.2,Positive
35,856,229,I couldn't be more pleased with this purchase. It works perfectly!,2023-07-04,could not pleased purchase works perfectly,6,2023,7,Tuesday,0.375,Positive
36,464,292,This product does exactly what I wanted it to do. Very pleased.,2024-02-28,product exactly wanted pleased,4,2024,2,Wednesday,0.375,Positive
37,307,264,I'm very pleased with how quickly it arrived and the quality of the product.,2023-08-26,pleased quickly arrived quality product,5,2023,8,Saturday,0.41666666666666663,Positive
38,344,240,"It's a decent product, but it doesn't offer the best value for the price.",2024-05-11,decent product not offer best value price,7,2024,5,Saturday,0.5833333333333334,Positive
39,367,202,This product does exactly what I wanted it to do. Very pleased.,2024-02-04,product exactly wanted pleased,4,2024,2,Sunday,0.375,Positive
40,206,264,This has been one of the best purchases I've made. Highly recommended!,2024-05-06,one best purchases made highly recommended,6,2024,5,Monday,0.58,Positive
41,551,261,This product is a game-changer. I'm so glad I bought it.,2023-08-24,product game changer glad bought,5,2023,8,Thursday,0.04999999999999999,Neutral
42,780,269,I've had nothing but problems with this product. It's not reliable.,2023-09-19,nothing problems product not reliable,5,2023,9,Tuesday,0.0,Neutral
43,251,270,I've never been this satisfied with a purchase before.,2023-10-21,never satisfied purchase,3,2023,10,Saturday,-0.25,Negative
44,450,242,"This item is exactly as described, and it works beautifully!",2024-03-13,item exactly described works beautifully,5,2024,3,Wednesday,0.55,Positive
45,251,245,I regret buying this. The quality is terrible and it stopped working within a week.,2023-10-01,regret buying quality terrible stopped working within week,8,2023,10,Sunday,-1.0,Negative
46,550,230,Such a fantastic product at a great price. Worth every cent!,2023-12-06,fantastic product great price worth every cent,7,2023,12,Wednesday,0.5000000000000001,Positive
47,235,206,The quality and performance of this product are top-notch.,2023-06-30,quality performance product top notch,5,2023,6,Friday,0.5,Positive
48,729,219,"I tried using it, but it's just not functional. Very frustrating.",2024-03-01,tried using not functional frustrating,5,2024,3,Friday,-0.4,Negative
49,822,204,"It's a basic product. Works, but no wow factor.",2024-01-27,basic product works no wow factor,6,2024,1,Saturday,-0.025,Neutral
50,426,279,"It's functional, but I'm not convinced it's the best choice for this price.",2024-01-24,functional not convinced best choice price,6,2024,1,Wednesday,1.0,Positive
51,794,206,I tried it once and it didn't work at all. Wouldn't recommend to anyone.,2024-01-31,tried not work would not recommend anyone,7,2024,1,Wednesday,0.0,Neutral
52,832,215,The product functions as expected but isn't remarkable.,2024-05-18,product functions expected not remarkable,5,2024,5,Saturday,-0.2375,Negative
53,740,203,"I'm so dissatisfied. It doesn't work, and the build quality is subpar.",2024-04-12,dissatisfied not work build quality subpar,6,2024,4,Friday,0.0,Neutral
54,510,225,"This didn't work as expected, and I'm very disappointed with my purchase.",2023-12-26,not work expected disappointed purchase,5,2023,12,Tuesday,-0.425,Negative
